Month,Item Name,Count,Amount
July,Beef Tossed Ramen,321,4564.29
July,Beef Ramen,273,3986.72
July,Chicken Rice Noodle Soup,173,2486.42
July,Chicken Ramen,127,1888.36
July,Beef Tossed Rice Noodle,112,1798.91
July,Pork Tossed Ramen,141,1907.81
July,Chicken Tossed Ramen,110,1541.79
July,House Ramen,84,1428.07
July,Mai Special Fried Chicken(8),152,1531.62
July,Pork Ramen,95,1321.41
July,Chicken Tossed Rice Noodles,80,1168.76
July,Beef Rice Noodle Soup,66,1036.74
July,BF chicken cutlet combo,77,943.49
July,Sichuan Chili Wontons,82,910.64
July,Fried Pork Dumplings(10),85,763.31
July,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",55,696.19
July,Cream Cheese Rangoon(6),110,660.64
July,Pork Tossed Rice Noodle,48,633.9
July,Mai's Golden Flake Fried Chicken(8),67,680.49
July,Steam Pork Dumplings(10),71,633.5
July,Mai OG Fried Chicken Wings(4),116,587.7
July,Crispy Spring Roll(3),137,549
July,Vegetable Ramen,39,528.97
July,Chicken Fried Rice,44,571.13
July,Golden Coconut Crunch Chicken(8),52,524.09
July,Crispy Pork Egg Roll(3),119,477.61
July,Pork Rice Noodle Soup,33,444.59
July,Pork Bun (3),74,437.03
July,House Fried Rice,29,419.2
July,Tempura Shrimp(3),76,376.69
July,House Rice Noodle Soup,21,339.32
July,Citrus Honey Fried Chicken  (8),28,275.98
July,Shrimp Fried Rice,19,257.36
July,Vegetable Rice Noodle Soup,22,314.18
July,Beef Fried Rice,18,247.79
July,Mai BF Chicken Cutlet Combo,16,225
July,Steam Pork Bun （3）,37,251.63
July,Onion Glory Fried Chicken(8),19,180.3
July,Pork Fried Rice,13,165.57
July,Spicy Cucumber Salad,29,152.92
July,Vegetable Tossed Rice Noodle,11,161.14
July,Mai Buffalo Chicken Wings(8),14,140.33
July,Jumbo Chicken Tenders Combo (3),10,98.46
July,Vegetable Fried Rice,7,87.21
July,BF chicken cutlet,13,85.12
July,Jumbo Chicken Tender (3),17,84.58
July,Brown Sugar Rice Cake (5),14,75.69
July,Crispy French Fries,22,85.08
July,Chili Pepper Fried Chicken（8）,7,69.43
July,Tangy Honey Mustard Fried Chicken (8),8,77.46
July,Vegetable Tossed Ramen,5,67.24
July,Sweet Sesame Ball (6) w. red bean,15,71.72
July,Wasabi Spiced Fried Chicken(8),5,59.95
July,Wasabi Spiced Fried Chicken (8),6,59.94
July,House Tossed Ramen,4,65.88
July,Tangy Honey Mustard Fried Chicken(8),3,35.97
July,Chunked Beef,7,27.87
July,Crispy French Fries(LG),6,26.34
July,Rice Noodle,12,18.35
July,Pork Bun (1),9,19.91
July,Ramen,13,19.33
July,Braised Egg （2 half）,9,17.66
July,House Tossed Rice Noodle,1,15.68
July,White Rice-To Go,4,14
July,White Rice - DINE IN,16,15.8
July,Chili Pepper Fried Chicken (8),1,11.99
July,Shrimp (8),5,14.88
July,Chicken Tender combo w fries and drink,1,10.5
July,Braised Pork,3,8.62
July,White Rice,3,11.2
July,Braised Chicken,2,6.58
July,Braised Egg,2,4.78
July,Braised Egg （2）,1,1.89
July,Mai‘s Special Sauce,2,1.98
July,Chunked Pork - 5 days exp,2,0
July,Chinese Bockchoy- 5 days exp,4,0
July,Braised Chicken - 5 days exp,1,0